Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Searches: Oct 2013,Searches: Nov 2013,Searches: Dec 2013,Searches: Jan 2014,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Competition,Suggested bid
Angels Tickets,angels tickets,USD,12100,480,480,1300,880,3600,9900,18100,18100,18100,33100,27100,18100,0.77,3.13
Angels Tickets,angel tickets,USD,3600,170,110,320,260,1000,3600,6600,5400,5400,6600,6600,3600,0.75,1.52
Angels Tickets,los angeles dodgers tickets,USD,2400,2400,210,390,720,880,1900,3600,2900,3600,2900,3600,3600,0.73,2.38
Angels Tickets,la angels tickets,USD,880,90,70,90,140,390,720,1300,1300,1600,2400,2400,1000,0.73,4.21
Angels Tickets,angels baseball tickets,USD,2400,110,140,390,480,1000,3600,4400,4400,3600,5400,4400,3600,0.62,2.2
Tickets,dodger tickets,USD,33100,40500,1600,3600,4400,6600,22200,60500,49500,49500,40500,49500,49500,0.71,2.53
Tickets,dodgers tickets,USD,22200,33100,1600,2900,5400,5400,14800,40500,33100,40500,33100,33100,40500,0.72,2.19
Tickets,cheap baseball tickets,USD,1000,390,90,90,210,390,1300,2400,1900,1900,1900,1600,1000,0.91,1.92
Tickets,baseball tickets for sale,USD,140,140,40,50,50,40,90,320,320,210,90,170,40,0.91,1.64
Tickets,seattle mariners tickets,USD,9900,390,590,1300,1900,2900,6600,18100,18100,18100,18100,18100,9900,0.63,3.11
Tickets,marlins tickets,USD,5400,320,210,390,390,720,3600,9900,14800,14800,9900,9900,6600,0.63,2.07
Tickets,mariners tickets,USD,18100,720,720,2400,1600,2900,9900,40500,33100,40500,40500,40500,27100,0.59,2.44
Tickets,washington nationals tickets,USD,9900,390,720,1300,1300,2900,8100,22200,14800,14800,18100,18100,12100,0.77,3.41
Tickets,detroit tigers tickets,USD,18100,18100,1000,2400,2900,5400,14800,33100,33100,33100,33100,27100,22200,0.72,2.64
Tickets,yankees tickets,USD,33100,2900,2900,6600,5400,22200,22200,49500,49500,49500,60500,49500,49500,0.8,8.42
Tickets,mets tickets,USD,14800,880,1900,3600,1900,4400,14800,33100,33100,27100,27100,27100,12100,0.67,1.78
Tickets,san francisco giants tickets,USD,8100,880,1000,1900,1900,2900,6600,18100,14800,14800,12100,8100,6600,0.76,3.39
Tickets,ny yankees tickets,USD,4400,480,480,880,720,2900,2900,6600,6600,6600,8100,8100,6600,0.77,8.5
Tickets,cubs tickets,USD,22200,1000,1600,2400,2900,5400,18100,40500,40500,49500,49500,40500,18100,0.69,2.77
Tickets,new york yankees tickets,USD,9900,2400,1900,2900,4400,9900,9900,14800,12100,14800,18100,14800,12100,0.71,5.55
Tickets,chicago cubs tickets,USD,14800,1000,1300,2400,2900,5400,12100,27100,22200,27100,27100,22200,9900,0.73,3.53
Tickets,baltimore orioles tickets,USD,8100,320,720,1900,2400,4400,9900,14800,12100,14800,14800,14800,14800,0.82,3.56
Tickets,atlanta braves tickets,USD,14800,5400,1300,2400,1900,4400,9900,33100,33100,27100,27100,18100,8100,0.76,2.72
Tickets,world series tickets,USD,8100,90500,390,260,260,210,170,210,260,320,390,480,1900,0.5,0.67
Tickets,houston astros tickets,USD,5400,390,320,590,880,1900,6600,12100,9900,12100,9900,8100,2900,0.71,1.98
Tickets,pirates tickets,USD,12100,12100,1900,2900,1600,1900,8100,18100,22200,27100,22200,22200,18100,0.68,3.07
Tickets,spring training tickets,USD,1600,90,320,720,1900,4400,9900,90,50,40,20,20,50,0.16,
Tickets,tigers tickets,USD,14800,18100,1300,1300,1300,1600,8100,22200,27100,27100,27100,22200,22200,0.67,2.56
Tickets,st louis cardinals tickets,USD,14800,27100,1600,4400,3600,6600,12100,22200,22200,18100,22200,14800,12100,0.73,3.29
Tickets,new york mets tickets,USD,2400,390,390,720,720,1300,2900,4400,4400,3600,4400,3600,1900,0.64,2.36
Tickets,sports ticket sales,USD,70,90,50,50,70,70,90,50,70,50,50,40,50,0.57,1.67
Tickets,mlb ticket exchange,USD,1600,1300,70,170,260,590,1600,2900,1900,1900,2400,1900,2900,0.39,3.33
Tickets,nationals tickets,USD,14800,480,720,1300,1300,3600,8100,33100,22200,22200,27100,27100,22200,0.73,3.34
Tickets,kansas city royals tickets,USD,4400,210,320,720,590,1900,4400,6600,6600,9900,6600,9900,8100,0.8,3.96
Tickets,orioles tickets,USD,22200,720,1000,2900,2400,5400,18100,33100,33100,40500,40500,49500,49500,0.72,2.97
Tickets,braves tickets,USD,22200,12100,1000,1900,1600,3600,8100,49500,49500,40500,40500,33100,12100,0.73,2.5
Tickets,white sox tickets,USD,9900,480,390,880,1000,2900,8100,18100,22200,18100,18100,14800,12100,0.69,1.85
Tickets,astros tickets,USD,9900,590,390,590,720,1900,8100,22200,14800,22200,18100,14800,6600,0.75,2.54
Tickets,tiger tickets,USD,3600,2900,260,390,390,720,2900,6600,6600,5400,5400,4400,4400,0.78,2.28
Tickets,rockies tickets,USD,14800,390,390,1000,1300,2400,8100,33100,33100,40500,33100,18100,8100,0.72,2.12
Tickets,indians tickets,USD,8100,2900,480,880,1000,1600,4400,12100,14800,18100,18100,14800,8100,0.66,1.79
Tickets,sf giants tickets,USD,18100,880,1900,4400,2900,5400,12100,33100,33100,40500,33100,22200,18100,0.76,3.17
Tickets,royals tickets,USD,12100,480,590,1000,880,2400,5400,14800,18100,33100,18100,33100,33100,0.72,2.8
Tickets,colorado rockies tickets,USD,8100,320,390,1300,1300,2900,8100,18100,18100,22200,18100,9900,4400,0.71,3
Tickets,toronto blue jays tickets,USD,9900,880,880,1300,1900,2400,6600,14800,18100,22200,18100,22200,6600,0.78,2.92
Tickets,milwaukee brewers tickets,USD,5400,170,390,880,880,1900,4400,12100,9900,9900,9900,8100,3600,0.79,2.51
Tickets,twins tickets,USD,9900,480,480,1000,880,1900,5400,18100,18100,27100,27100,14800,8100,0.75,1.72
Tickets,ranger tickets,USD,3600,1600,2900,3600,2900,1900,3600,6600,6600,5400,2900,1600,1900,0.69,2.06
Tickets,texas ranger tickets,USD,1900,140,170,320,480,880,2900,5400,3600,3600,3600,1600,1000,0.73,1.83
Tickets,arizona diamondbacks tickets,USD,2400,170,140,320,320,720,2400,4400,4400,5400,4400,3600,2400,0.64,2.2
Tickets,chicago white sox tickets,USD,4400,260,260,590,720,1600,3600,8100,9900,8100,9900,8100,5400,0.75,2.38
Keywords like: Angel Stadium,angel stadium,USD,12100,4400,4400,5400,14800,8100,12100,18100,22200,18100,18100,22200,14800,0.08,1.16
Keywords like: Angel Stadium,anaheim stadium,USD,4400,1600,1600,2900,9900,3600,3600,3600,4400,3600,4400,5400,3600,0.09,0.82
