Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Searches: Oct 2013,Searches: Nov 2013,Searches: Dec 2013,Searches: Jan 2014,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Competition,Suggested bid
Concert Tickets,concert tickets,USD,60500,60500,74000,74000,60500,60500,60500,60500,60500,60500,60500,60500,60500,0.82,2.61
Concert Tickets,buy concert tickets,USD,1900,1900,2400,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,0.82,3.12
Concert Tickets,concert tickets uk,USD,720,1000,1300,880,720,590,590,480,720,590,590,480,720,0.51,1.03
Concert Tickets,lady gaga concert tickets,USD,720,390,720,1300,590,880,1300,590,590,480,590,260,210,0.5,1.13
Concert Tickets,cheapest concert tickets,USD,880,720,720,720,720,880,880,880,880,880,1300,1300,1000,0.88,2.76
Concert Tickets,tickets for concerts,USD,1000,1000,1300,1000,1000,880,1000,1000,880,880,880,880,880,0.8,1.66
Concert Tickets,concert ticket,USD,2900,3600,3600,4400,2900,2900,3600,2900,3600,2900,2400,2900,2900,0.42,1.95
Concert Tickets,tickets concert,USD,1000,1300,1300,1300,880,1000,1000,880,880,880,720,880,1000,0.65,0.93
Concert Tickets,katy perry concert tickets,USD,2900,2400,3600,1300,9900,3600,3600,2900,2900,2900,2400,1900,1900,0.87,2.65
Concert Tickets,eagles concert tickets,USD,1900,2400,3600,1300,1600,880,2400,1000,1600,2900,1600,2900,2900,0.84,3.34
Concert Tickets,concerts tickets,USD,590,590,590,590,480,480,590,590,480,480,590,590,480,0.64,2.65
Concert Tickets,eminem concert tickets,USD,1900,1600,3600,2400,1600,1000,2400,2400,2400,1900,1000,1300,480,0.44,1.33
Concert Tickets,where to buy concert tickets,USD,480,390,480,480,480,590,590,590,590,480,720,590,590,0.86,2.06
Concert Tickets,ticket concert,USD,1900,2900,2900,2400,1900,1600,1900,1600,1600,1300,1300,1300,1900,0.46,0.56
Concert Tickets,free concert tickets,USD,1000,880,880,720,1000,1000,1300,1300,1000,1300,1600,1300,1000,0.68,0.98
Concert Tickets,tickets to concerts,USD,210,170,260,260,210,260,210,210,170,210,210,210,260,0.7,1.87
Concert Tickets,drake concert tickets,USD,2400,8100,9900,2900,1300,1600,1900,720,390,1000,880,1600,1000,0.72,2.12
Concert Tickets,adele concert tickets,USD,210,480,260,260,320,260,90,70,110,90,140,210,320,0.28,1.6
Concert Tickets,tickets concerts,USD,320,390,390,390,320,320,390,260,260,210,260,260,320,0.55,1.3
Concert Tickets,sold out concert tickets,USD,260,260,170,170,210,210,260,260,170,170,210,390,390,0.57,3.5
Concert Tickets,concert ticket websites,USD,590,880,880,480,590,590,720,590,590,480,480,480,480,0.84,2.79
Concert Tickets,concert tickets australia,USD,170,320,210,260,170,170,210,110,210,140,70,70,140,0.33,3.1
Concert Tickets,buying concert tickets,USD,140,170,170,140,140,140,170,140,140,140,170,140,140,0.63,2.34
Concert Tickets,u2 concert tickets,USD,110,90,110,110,90,170,140,70,90,70,70,90,210,0.45,1.27
Sports Tickets,sports tickets,USD,5400,8100,6600,6600,5400,4400,6600,5400,5400,4400,4400,5400,6600,0.83,3.51
Sports Tickets,sport tickets,USD,1000,1600,1300,1300,1000,1000,1000,1300,1000,880,880,1000,1300,0.69,2.62
Sports Tickets,sports tickets for sale,USD,320,590,390,390,480,320,260,590,170,90,70,90,170,0.87,2.14
Sports Tickets,sports tickets websites,USD,260,260,140,90,210,210,590,210,70,90,320,390,260,0.79,2.52
Sports Tickets,cheapest sports tickets,USD,170,260,210,170,140,110,170,210,170,90,210,260,210,0.84,2.18
Sports Tickets,buy sports tickets,USD,390,480,390,390,320,320,480,390,320,260,390,390,390,0.7,2.28
Sports Tickets,sports tickets online,USD,390,720,590,720,320,170,140,210,390,390,390,480,590,0.77,2.51
Sports Tickets,tickets sports,USD,210,210,210,210,170,170,260,210,210,260,210,210,260,0.47,2.25
Sports Tickets,sports ticket,USD,260,480,320,320,260,210,260,320,210,210,260,260,260,0.61,2.18
Sports Tickets,sporting tickets,USD,390,480,480,480,320,260,390,390,320,320,480,390,590,0.63,2.64
Sports Tickets,buy sports tickets online,USD,210,320,260,210,210,170,210,170,140,110,140,170,260,0.76,1.79
Sports Tickets,sport tickets for sale,USD,50,40,40,20,20,20,10,50,50,70,70,140,20,0.72,1.52
