Ad group,Keyword,Currency,Avg. Monthly Searches (exact match only),Searches: Oct 2013,Searches: Nov 2013,Searches: Dec 2013,Searches: Jan 2014,Searches: Feb 2014,Searches: Mar 2014,Searches: Apr 2014,Searches: May 2014,Searches: Jun 2014,Searches: Jul 2014,Searches: Aug 2014,Searches: Sep 2014,Competition,Suggested bid
Sports Tickets,sports tickets,USD,5400,8100,6600,6600,5400,4400,6600,5400,5400,4400,4400,5400,6600,0.83,3.51
Sports Tickets,sports tickets for sale,USD,320,590,390,390,480,320,260,590,170,90,70,90,170,0.87,2.14
Sports Tickets,sports tickets websites,USD,260,260,140,90,210,210,590,210,70,90,320,390,260,0.79,2.52
Sports Tickets,buy sports tickets,USD,390,480,390,390,320,320,480,390,320,260,390,390,390,0.7,2.28
Sports Tickets,sports tickets online,USD,390,720,590,720,320,170,140,210,390,390,390,480,590,0.77,2.51
Sports Tickets,sporting tickets,USD,390,480,480,480,320,260,390,390,320,320,480,390,590,0.63,2.64
Sports Tickets,buy sports tickets online,USD,210,320,260,210,210,170,210,170,140,110,140,170,260,0.76,1.79
Sports Tickets,sport tickets for sale,USD,50,40,40,20,20,20,10,50,50,70,70,140,20,0.72,1.52
Sports Tickets,buying sports tickets,USD,30,40,40,30,20,10,50,50,30,20,40,50,30,0.57,2.47
Sports Tickets,sporting event tickets,USD,590,720,720,720,590,480,720,590,480,390,480,480,590,0.81,2.49
Sports Tickets,tickets for sports,USD,50,90,50,30,90,20,50,50,50,40,40,50,20,0.79,2.85
Sports Tickets,tickets sport,USD,140,170,140,170,140,110,110,110,110,110,110,110,210,0.13,0.85
Sports Tickets,sports ticket sales,USD,70,90,50,50,70,70,90,50,70,50,50,40,50,0.57,1.67
Sports Tickets,tickets for sporting events,USD,140,210,210,210,170,90,170,90,70,110,110,140,170,0.81,3.77
Sports Tickets,buy sport tickets,USD,40,40,40,30,20,20,40,30,40,40,30,40,40,0.69,4.09
Sports Tickets,online sports tickets,USD,90,170,140,70,70,70,90,110,70,70,70,90,90,0.76,2.19
Sell Tickets,sell tickets,USD,5400,5400,5400,4400,4400,4400,5400,5400,6600,6600,5400,5400,5400,0.76,4.15
Sell Tickets,sell tickets online,USD,3600,3600,3600,2900,2900,3600,4400,3600,4400,4400,4400,3600,3600,0.87,10.57
Sell Tickets,selling tickets,USD,1000,1300,1000,880,1000,1000,1300,1000,1300,1300,1000,1000,1000,0.69,4.37
